Nodes: 8 | Threads: 32 | Size: 10000000 | Payload: 24 | Time: 5.9155
Nodes: 2 | Threads: 2 | Size: 10000000 | Payload: 256 | Time: 32.9449
Nodes: 4 | Threads: 2 | Size: 10000000 | Payload: 256 | Time: 32.9412
Nodes: 8 | Threads: 2 | Size: 10000000 | Payload: 256 | Time: 32.8973
Nodes: 2 | Threads: 4 | Size: 10000000 | Payload: 256 | Time: 32.8772
Nodes: 4 | Threads: 4 | Size: 10000000 | Payload: 256 | Time: 32.9079
Nodes: 8 | Threads: 4 | Size: 10000000 | Payload: 256 | Time: 33.1914
Nodes: 2 | Threads: 8 | Size: 10000000 | Payload: 256 | Time: 33.2022
Nodes: 4 | Threads: 8 | Size: 10000000 | Payload: 256 | Time: 32.9928
Nodes: 8 | Threads: 8 | Size: 10000000 | Payload: 256 | Time: 33.4080
Nodes: 2 | Threads: 16 | Size: 10000000 | Payload: 256 | Time: 32.8748
Nodes: 4 | Threads: 16 | Size: 10000000 | Payload: 256 | Time: 32.8792
Nodes: 8 | Threads: 16 | Size: 10000000 | Payload: 256 | Time: 32.9053
Nodes: 2 | Threads: 32 | Size: 10000000 | Payload: 256 | Time: 32.9530
Nodes: 4 | Threads: 32 | Size: 10000000 | Payload: 256 | Time: 32.9531
Nodes: 8 | Threads: 32 | Size: 10000000 | Payload: 256 | Time: 32.9897
Nodes: 2 | Threads: 2 | Size: 100000000 | Payload: 1 | Time: 23.7534
Nodes: 4 | Threads: 2 | Size: 100000000 | Payload: 1 | Time: 23.3100
Nodes: 8 | Threads: 2 | Size: 100000000 | Payload: 1 | Time: 22.9124
Nodes: 2 | Threads: 4 | Size: 100000000 | Payload: 1 | Time: 22.5193
Nodes: 4 | Threads: 4 | Size: 100000000 | Payload: 1 | Time: 22.6500
Nodes: 8 | Threads: 4 | Size: 100000000 | Payload: 1 | Time: 22.7375
Nodes: 2 | Threads: 8 | Size: 100000000 | Payload: 1 | Time: 22.1562
Nodes: 4 | Threads: 8 | Size: 100000000 | Payload: 1 | Time: 22.5925
Nodes: 8 | Threads: 8 | Size: 100000000 | Payload: 1 | Time: 22.5310
Nodes: 2 | Threads: 16 | Size: 100000000 | Payload: 1 | Time: 22.3686
Nodes: 4 | Threads: 16 | Size: 100000000 | Payload: 1 | Time: 22.6026
Nodes: 8 | Threads: 16 | Size: 100000000 | Payload: 1 | Time: 22.5901
Nodes: 2 | Threads: 32 | Size: 100000000 | Payload: 1 | Time: 23.9043
Nodes: 4 | Threads: 32 | Size: 100000000 | Payload: 1 | Time: 23.1967
Nodes: 8 | Threads: 32 | Size: 100000000 | Payload: 1 | Time: 22.9507
Nodes: 2 | Threads: 2 | Size: 100000000 | Payload: 24 | Time: 59.9053
Nodes: 4 | Threads: 2 | Size: 100000000 | Payload: 24 | Time: 59.0058
Nodes: 8 | Threads: 2 | Size: 100000000 | Payload: 24 | Time: 58.8610
